q_p1,a_p1,a_p2,par_1,par_2,answer_1,answer_2,score_a,score_par,,
"i play mahjong with my friends in hall very often and it messed up my sleep cycle alot, what should i do?","my hope is that this gets people talking, and moving in directions of finding that solution",play in a band,"it's out in the open your hamstring hurts, let's talk about it so we can figure out we need to do something. but we don't sometimes talk about sleep in meaningful ways. so my hope is this book creates a conversation about it, because i don't think we can talk about it too much. and so when you're out with your friends, and you're talking about, my kid does this in his sleep and i read something about that one time, my hope is that this gets people talking, and moving in directions of finding that solution.","i was never told that sleep was important, was never encouraged to do it, and i was never educated on it. in fact, if i had behaved properly and if i'd have done well at school, i could stay up late at night to watch the midweek sport, so i was getting rewarded for losing sleep. and by the time i got to my teenage years, i was allowed to play in a band midweek until midnight. my dad was a former semi-pro musician, so i was encouraged to follow that, and i'd be the kid at the back of the class falling asleep.","my hope is that this gets people talking, and moving in directions of finding that solution",play in a band,4,4,,
what are the advantages of sleep?,"shorter wait times and increased convenience, affordability, and comfort",creative advantage,"researchers also instructed them to hold an object and to report on their thoughts just before dropping the object, if they did so. during the second test after the break, some participants had what the researchers called a eureka moment and found a way to solve the problems faster and more accurately. participants who had reached only the first stage of sleep seemed to have a creative advantage: more than three-quarters (83%) of these participants discovered the shortcut to solving the math problems. only 30% of the participants who did not sleep identified the shortcut, and 14% of participants who slept more deeply discovered it.","the key benefits of an at - home sleep apnea test compared to traditional polysomnography are shorter wait times and increased convenience, affordability, and comfort. the alternative to an at - home sleep apnea test is an overnight sleep study conducted in a lab. sleep centers aim to make these comfortable by providing a nice bedroom. however, you are still sleeping somewhere that feels unfamiliar, and there are technicians monitoring you while you sleep. for people who find that uncomfortable, a sleep apnea test at home may be preferable. at - home sleep apnea tests are generally more convenient than a polysomnogram.",creative advantage,"shorter wait times and increased convenience, affordability, and comfort",1,4,,
what should i eat to get better sleep?,"a diet rich in whole grains, fruits, and vegetables",spoon fed,"it can also help to eat more frequently, in smaller amounts, and avoid certain foods that make your symptoms worse. a diet rich in whole grains, fruits, and vegetables can help reduce pms symptoms. eating a large dinner may make it more difficult for your body to relax during sleep, so consider reducing portion sizes in the evening especially. ask your healthcare provider about nutritional supplements that may help relieve symptoms. regular exercise in general and higher - intensity exercise in the lead - up to your period can help reduce the severity of pms symptoms. good options include yoga, swimming, or other forms of aerobic exercise.","i can't imagine why that's not common practice in all universities. it should be absolutely spoon fed to children and university graduates, because it's a no-brainer. it's now proven that children who get better sleep get better results in exams. i approach health from all different angles, so i get people coming to me either for a specific health need or a global intervention. and it's interesting when you look at the things that are components of health. you can't get away from exercise, sleep, and food. and they all crossover and interconnect. when you look at the rise in obesity and the decrease in sleep, they're pretty much interlinked, too.","a diet rich in whole grains, fruits, and vegetables",spoon fed,1,4,,
what kinds of sleep disorders are there?,a group of symptoms and experiences,insomnia,"ear, nose, and throat doctors - formally called otorhinolaryngologists - are also able to diagnose and treat certain sleep disorders related to the upper throat and airways. check with your primary care doctor for referrals or recommendations of local otorhinolaryngologists. you may also want to check with your insurance provider to make sure your visit is covered. if your sleep disruptions persist over long periods of time, you may want to consider visiting a sleep clinic. sleep disorders are a group of symptoms and experiences that impact your ability to fall asleep or stay asleep and your ability to feel rested the next day.","tell them what kind of sleep issues you've been having, when they started, and how frequently you experience them. this information can help them prescribe an appropriate treatment plan to relieve your sleep issues. if your doctor recommends a sleep aid, always read the sleeping pill's medication guide to make sure you fully understand the risks and potential side effects. only take it as prescribed by your doctor, and only when you have time to get a full night's sleep to minimize side effects the next day. if you're consistently having trouble falling or staying asleep, talk to your doctor. behavior and lifestyle changes, in addition to cognitive behavioral therapy, can help. if an underlying issue is behind insomnia, be it a health condition or a sleep disorder, treating that can resolve or improve your insomnia.",a group of symptoms and experiences,insomnia,2,4,,
how do i prolong rem sleep?,starting at 10 minutes long and lasting as long as one hour,can i check my sleep score,"while our family chose the amazon halo for our experiment, there are numerous sleep trackers available that are appropriate for kids, such as the garmin vivofit jr. 2 and fitbit ace 2 and 3. the data these trackers provide can offer a new perspective on your child's daily and nightly routines and sleep quality. do i vote for every child being constantly analyzed for data? certainly not. you have to do what makes you and your family comfortable. wearables can be a gentle, fun, non-invasive way of gaining insight into your child's inner workings. and, hey, now my daughter wakes up every morning and asks, can i check my sleep score?. how much sleep do babies and kids need? do your children get enough sleep? is your child getting enough sleep? here's how to tell.","during this stage, the eyes move rapidly behind closed eyelids, and brain activity consists of smaller, faster waves, called theta waves, that are similar to wakefulness. most muscles become temporarily paralyzed during rem sleep to prevent accidental harm from acting out dreams, although individuals may display occasional muscle twitches. heart rate increases, and breathing quickens and becomes uneven. someone woken during rem sleep often appears relatively alert, in contrast to those woken during deep sleep. periods of rem sleep occur at roughly 90 - minute intervals throughout the night and generally become longer as the night wears on, starting at 10 minutes long and lasting as long as one hour.",can i check my sleep score,starting at 10 minutes long and lasting as long as one hour,4,4,,
is it bad to sleep on a full stomach? what about an empty stomach?,"to enjoy a small, nutritious bedtime snack",can increase the amount of pressure on your spine and lead to pain upon waking,"if you frequently find yourself waking up to go to the washroom, you may also choose to drink less fluids overall before bed. a recent study found that eating within three hours of bedtime may lead to more nighttime awakenings. eating a heavy meal right before lying down can also cause heartburn, with accompanying discomfort that may make it even more difficult to sleep. if you suffer from heartburn, try to avoid fried, spicy, or acidic foods close to bedtime. for those who have trouble sleeping through the night on an empty stomach, the best option is to enjoy a small, nutritious bedtime snack.","not only is side sleeping preferred by 60% of adults, but it is also considered to be one of the healthiest sleep positions. side sleeping offers many benefits, from improved spinal alignment to a reduced risk of snoring, heartburn, and back pain. to unlock the full potential of these benefits, however, you need to get into just the right position. learn more about how to sleep on your side, which side you should choose, and what else to consider. many people live with chronic pain, especially in their lower back. sleeping in the wrong position, such as on your stomach, can increase the amount of pressure on your spine and lead to pain upon waking.","to enjoy a small, nutritious bedtime snack",can increase the amount of pressure on your spine and lead to pain upon waking,4,4,,
does mood or emotions affect sleep quality?,"sleep can also affect mood and perception, including how a person perceives their skin and overall appearance.",it also affects a child's mood,"sleep can also affect mood and perception, including how a person perceives their skin and overall appearance. women who sleep well tend to be more satisfied with their appearance than women who do not sleep well. this satisfaction may be due in part to how they are perceived in the world. studies have demonstrated that someone who is sleep deprived is perceived as less attractive. as a result of sleep deprivation, they might have dark circles under their eyes, swollen eyelids, and a puffy face. there is also a correlation between appearing tired and appearing sad.","sleep is essential to the well-being of children. not only does sleep support the overall health of the child, but it also affects a child's mood and his or her ability to learn during the daytime. a lack of sleep can have long-term impacts on a child's future academic performance and emotional health. as infants and children grow, the amount of daily sleep they need decreases. these sleep needs are initially distributed between naps and nighttime sleep, but at what age should kids stop napping? the exact age varies among children, depending on factors such as attending preschool, maturity, and nighttime sleep habits.","sleep can also affect mood and perception, including how a person perceives their skin and overall appearance.",it also affects a child's mood,4,4,,
what is the cause of snoring?,the rattling and vibration of tissues near the airway in the back of the throat,sleep apnea,"almost everyone snores occasionally. habitual snoring occurs in around 40% of adult women and 57% of adult men, and some people snore regularly without any other sleep-related symptoms. however, snoring can be caused by a sleep disorder called sleep apnea, which disrupts sleep and can lead to other health issues. snoring may also be the result of a person's natural anatomy and weight, or behaviors such as drinking alcohol or sleeping in a certain position. understanding the varied causes of snoring can help you determine whether your snoring is something you should be concerned about, and what steps you can take to address it.","snoring is caused by the rattling and vibration of tissues near the airway in the back of the throat. during sleep, the muscles loosen, narrowing the airway, and as we inhale and exhale, the moving air causes the tissue to flutter and make noise like a flag in a breeze. some people are more prone to snoring because of the size and shape of the muscle and tissues in their neck. in other cases, excess relaxing of the tissue or narrowing of the airway can lead to snoring. though people of any age, including children, can snore, it is more common in older people.",sleep apnea,the rattling and vibration of tissues near the airway in the back of the throat,3,3,,
"i always wake up in the middle of the night feeling breathless, what is wrong with me?",your tendency to hit snooze could be the result of not obtaining enough sleep,is not normal,"so even if you think, my child has narcolepsy. i read this book that chris wrote, and by god, i need help. even if you're wrong, at least you're arming yourself with the understanding that the behavior that you witnessed when you were spending the night in a hotel room with your kid at the soccer tournament, and he kicked violently all through the night, is not normal. so it's okay for you to seek more information and understanding about sleepwalking, the crazy teeth grinding, the unusual vocalizations and screaming that happen at night. the same mentor who told me 99% of sleep problems are parent sleep problems, would always tell parents to never watch their kids sleep.","during sleep inertia, you are still not fully alert, and you want to go back to sleep rather than get out of bed and begin your day. sleep inertia is a normal feeling we all experience as we transition from being asleep to being fully awake. people tend to experience more intense sleep inertia when they are sleep deprived. if you are part of the one - third of americans sleeping less than seven hours per night, your tendency to hit snooze could be the result of not obtaining enough sleep. trouble waking up is also more common in people with certain sleep disorders, mood disorders, and jobs that require them to wake up at unusual hours.",is not normal,your tendency to hit snooze could be the result of not obtaining enough sleep,4,4,,
is it okay to catch up on sleep debt over the weekends?,if you've been missing out on sleep for several days in a row,when we fail to fully make up our sleep debt over the weekend,"when they get extra sleep on weekends, studies show that it reduces their late - night cravings on those nights. however, once these sleepers return to the sleep deprivation of a typical work week, their snacking resumes. their insulin sensitivity also decreases, which is a warning sign for diabetes. effectively, the benefits of the weekend sleep are canceled out by the following workweek. sleeping in is one approach to recoup sleep debt, but if you've been missing out on sleep for several days in a row, two days of sleeping in may not be enough. you may need several nights of good sleep to fully recover.","the size of your sleep debt determines how long it takes you to catch up on sleep. many people accumulate such a large sleep debt during the week that they would practically have to sleep all weekend to pay it back. when we fail to fully make up our sleep debt over the weekend, it carries over into the next workweek. interestingly, many people report feeling completely fine after a weekend of catching up on sleep, even though their bodies show markers of increased stress. researchers suggest that the lack of discomfort we feel after receiving catch-up sleep might explain why we keep relying on this age-old method despite its drawbacks.",if you've been missing out on sleep for several days in a row,when we fail to fully make up our sleep debt over the weekend,4,4,,
