what does help researchers to learn about the importance of sleep?	there are important differences in sleep for men and women
what may enable more restful sleep?	listening to music, reading, or a bath
what percentage of women are report sleeping problems and higher rates of insomnia during perimenopause and menopause?	39 to 47 percent
who has an enviable life?	dogs
why do couples gravitate towards hybrid models?	because they combine bounce and motion isolation
what are symptoms of travel fatigue?	headaches, feelings of being disoriented, and make it difficult to get enough sleep.
what does stress represent?	too much stress can have a profound impact on sleep and overall health
why do carnivores tend to sleep more than herbivores?	sleep is more dangerous for prey animals
why do doctors often look for mental health disorders in people with parkinson's disease who have sleep problems?	insomnia frequently goes hand - in - hand with anxiety and depression
what is the relationship between bed size and cost?	the price of a mattress will scale directly with the size
what happens if an underlying cause of hypersomnia can't be found?	narcolepsy, medication, or a medical disorder
what does scn release when exposed to light?	chemicals and hormones that promote alertness
how do cpap machines work?	by pushing a steady stream of pressurized air through the nostrils
what is the purpose of a sleep dictionary?	better understanding key issues that affect your sleep
what can sleep studies find?	the underlying cause of poor sleep
what happens when there is delayed sleep timing?	falling asleep at night and waking up earlier in the morning
what can changes to daily routine do?	improve kids'and parents'moods, lower household stress levels, and lead to better learning outcomes
what should you do if you are aiming to wake up earlier?	help you get enough rest and avoid sudden changes
what can exposure to electric light at night do?	can disrupt a person's circadian rhythm
what is a central component of sleep hygiene beyond just habits?	your sleep environment
what is the defining feature of each mattress type?	firmer in the center third
what percentage of people with asthma also experience gerd symptoms?	heartburn, regurgitation, coughing, or choking
what is the official treatment for maladaptive daydreaming?	better focus and better sleep
what should you do if you're unsure of how to implement healthy sleep habits in your life?	talk with your doctor
what kind of mattresses are box springs primarily used for?	coil - based mattresses
what percentage of people have night eating syndrome?	1. 5 %
what are the inherent risk of getting the inspire sleep apnea treatment?	infection, pain, and swelling
what are the three components of asv machines?	a face mask, the machine, and a flexible hose that connects the mask to the machine
what is hypersomnolence?	feelings of sleepiness and fatigue during the day
why are toppers helpful?	when a person doesn't want to replace a mattress
what prevents people from acting out their dreams?	because most dreams take place during rem sleep, when leg and arm muscles are temporarily paralyzed
when is polysomnography able to record?	polysomnography offers thorough information for medical professionals to evaluate
what can failing to get enough sleep lead to?	issues with concentration, grades and test scores, and the motivation to achieve
what kind of neurodevelopmental issues are linked to preterm birth?	language, motor skills, and behavior
what is considered shift work?	work schedules that fall anywhere outside the hours of 7 am to 6 pm
what is parkinson's disease?	a complex movement disorder thought to affect as many as 1 million people in the united states.
